Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,4194.839844,4198.970215,4185.140137,4188.310059,4188.310059,25371300
2021-10-26,4187.549805,4230.879883,4187.549805,4223.970215,4223.970215,26048800
2021-10-27,4220.740234,4226.990234,4205.419922,4220.879883,4220.879883,30330600
2021-10-28,4220.740234,4236.200195,4213.169922,4233.870117,4233.870117,29454600
2021-10-29,4228.729980,4250.680176,4187.810059,4250.560059,4250.560059,35857400
2021-11-01,4256.930176,4291.810059,4256.930176,4280.470215,4280.470215,28152400
2021-11-02,4276.720215,4297.450195,4273.100098,4296.220215,4296.220215,24980200
2021-11-03,4292.589844,4309.660156,4291.100098,4309.609863,4309.609863,28690300
2021-11-04,4314.509766,4340.810059,4314.509766,4333.339844,4333.339844,37958100
2021-11-05,4330.140137,4375.040039,4330.140137,4363.040039,4363.040039,31450400
2021-11-08,4359.740234,4366.540039,4352.450195,4352.529785,4352.529785,24731400
2021-11-09,4346.620117,4364.040039,4337.660156,4344.629883,4344.629883,24140500
2021-11-10,4349.799805,4358.459961,4330.290039,4348.819824,4348.819824,26208000
2021-11-11,4347.259766,4358.799805,4334.930176,4358.000000,4358.000000,21881800
2021-11-12,4357.899902,4372.319824,4352.430176,4370.330078,4370.330078,21906700
2021-11-15,4364.520020,4386.189941,4364.520020,4386.189941,4386.189941,22953300
2021-11-16,4393.799805,4406.459961,4389.520020,4401.490234,4401.490234,23199400
2021-11-17,4399.250000,4409.240234,4399.250000,4400.810059,4400.810059,21946300
2021-11-18,4400.729980,4415.229980,4377.729980,4383.700195,4383.700195,30449200
2021-11-19,4385.660156,4401.919922,4333.859863,4356.470215,4356.470215,53668100
2021-11-22,4361.950195,4371.600098,4336.169922,4338.689941,4338.689941,35014300
2021-11-23,4320.410156,4328.479980,4267.229980,4283.819824,4283.819824,31499500
2021-11-24,4284.600098,4305.490234,4240.779785,4276.250000,4276.250000,32984600
2021-11-25,4286.629883,4304.859863,4278.799805,4293.240234,4293.240234,20877800
2021-11-26,4213.930176,4213.930176,4086.659912,4089.580078,4089.580078,66887000
2021-11-29,4117.790039,4154.149902,4097.979980,4109.509766,4109.509766,42566100
2021-11-30,4089.510010,4110.959961,4027.429932,4063.060059,4063.060059,67918500
2021-12-01,4080.850098,4187.859863,4080.850098,4179.149902,4179.149902,37478200
2021-12-02,4157.700195,4157.700195,4086.820068,4108.020020,4108.020020,36900400
2021-12-03,4118.979980,4150.419922,4059.020020,4080.149902,4080.149902,33308500
2021-12-06,4095.389893,4146.160156,4078.639893,4137.109863,4137.109863,30033400
2021-12-07,4157.720215,4277.029785,4157.720215,4276.200195,4276.200195,34420800
2021-12-08,4273.319824,4288.200195,4233.089844,4233.089844,4233.089844,32546900
2021-12-09,4242.660156,4246.520020,4201.850098,4208.299805,4208.299805,26129200
2021-12-10,4198.180176,4221.569824,4178.660156,4199.160156,4199.160156,25370900
2021-12-13,4206.450195,4241.120117,4176.970215,4183.040039,4183.040039,24169200
2021-12-14,4198.899902,4210.520020,4143.500000,4144.509766,4144.509766,28737700
2021-12-15,4147.160156,4176.140137,4147.160156,4159.680176,4159.680176,25819200
2021-12-16,4198.250000,4250.899902,4198.250000,4201.870117,4201.870117,35425700
2021-12-17,4195.939941,4195.939941,4130.359863,4161.350098,4161.350098,59792700
2021-12-20,4140.330078,4140.330078,4046.689941,4107.129883,4107.129883,30146400
2021-12-21,4120.479980,4174.990234,4120.479980,4174.990234,4174.990234,23844700
2021-12-22,4180.890137,4217.060059,4167.890137,4217.060059,4217.060059,19256600
2021-12-23,4221.899902,4270.290039,4221.899902,4265.859863,4265.859863,20498000
2021-12-27,4249.899902,4293.890137,4240.490234,4287.979980,4287.979980,13904700
2021-12-28,4290.540039,4319.689941,4287.109863,4311.930176,4311.930176,16909200
2021-12-29,4311.129883,4312.450195,4271.370117,4284.830078,4284.830078,16659800
2021-12-30,4286.629883,4309.540039,4285.290039,4306.069824,4306.069824,18578400
2022-01-03,4303.939941,4348.660156,4303.939941,4331.819824,4331.819824,25841400
2022-01-04,4346.450195,4390.589844,4342.250000,4367.620117,4367.620117,32585300
2022-01-05,4368.779785,4395.779785,4367.029785,4392.149902,4392.149902,29744700
2022-01-06,4372.450195,4372.450195,4304.540039,4324.810059,4324.810059,32675500
2022-01-07,4331.069824,4335.720215,4279.709961,4305.830078,4305.830078,31689000
2022-01-10,4312.129883,4324.640137,4231.060059,4239.520020,4239.520020,31296700
2022-01-11,4251.799805,4303.169922,4251.799805,4281.540039,4281.540039,26401700
2022-01-12,4306.250000,4328.759766,4289.000000,4316.390137,4316.390137,39871000
2022-01-13,4319.259766,4335.490234,4294.990234,4315.899902,4315.899902,31408300
